Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindSpeed9am,Humidity9am,Pressure9am,Cloud9am,Temp9am,RainToday,RainTomorrow
1/1/15,Dartmoor,9.7,28.9,0,6.2,9.5,ESE,44,NA,0,100,1015.5,NA,15.5,No,No
1/1/15,Brisbane,25.2,31.3,12.2,7,12.1,E,26,NNE,6,67,1014.9,5,29.4,Yes,No
1/1/15,Cairns,25.3,33.7,0,8.8,7.8,NE,35,ENE,15,65,1009.7,3,30.3,No,No
1/1/15,GoldCoast,21.4,30.9,47.2,NA,NA,WNW,43,S,11,79,1015.4,NA,26.7,Yes,No
1/1/15,Townsville,27.6,32.6,0,8,2.2,ENE,35,ENE,20,63,1010.3,7,31.3,No,Yes
1/1/15,Adelaide,15.1,37,0,NA,NA,WNW,31,SW,11,43,1012.1,NA,23.9,No,No
1/1/15,MountGambier,10.7,29.5,0,6.2,9.5,SSE,41,S,15,75,1015.5,8,17,No,No
1/1/15,Nuriootpa,13.5,34,0,9.6,9.1,ESE,41,ENE,9,32,1011.8,6,23.2,No,No
1/1/15,Woomera,20.9,39.2,0,11.6,NA,NNE,31,E,13,14,1010.3,2,28.9,No,No
1/1/15,Albany,NA,21.9,0,3.4,8.6,NA,NA,NA,NA,NA,1013.2,NA,NA,No,No
1/1/15,Witchcliffe,10.7,25,0,NA,NA,SW,31,SSE,4,55,1012.6,NA,21,No,No
1/1/15,PearceRAAF,17.1,32.7,0,NA,13.4,E,46,E,13,49,1011.2,NA,23.5,No,No
1/1/15,PerthAirport,17.2,29.4,0,10.2,13.4,WSW,43,E,13,48,1011.5,1,22.8,No,No
1/1/15,Perth,17.4,28.5,0,10.2,13.4,SSW,39,ESE,9,50,1011.3,1,24,No,No
1/1/15,SalmonGums,14.7,30.7,0.2,NA,NA,SSW,39,ESE,15,63,NA,NA,19.5,No,No
1/1/15,Walpole,12.6,23.6,0.4,NA,NA,SSE,33,NE,9,59,1012.5,NA,20.5,No,No
1/1/15,Hobart,13.6,22.4,0,5.6,8.7,WNW,56,NW,28,57,1005.9,7,17.2,No,No
1/1/15,Launceston,12.8,24.6,0,NA,NA,NNW,37,NW,20,71,NA,8,15.7,No,No
1/1/15,AliceSprings,19.7,40.3,0,15.8,10.6,N,41,N,31,10,1008.3,1,33.8,No,No
1/1/15,Darwin,23.7,26.9,129.4,5.4,0,NNW,31,NNE,2,98,1008.3,8,23.8,Yes,Yes
1/1/15,Katherine,23.5,31.2,15.2,5.4,NA,N,28,N,7,94,1008,8,26.5,Yes,Yes
1/1/15,Uluru,22.6,42,0,NA,NA,SSW,61,NW,30,21,1007.8,7,33.1,No,Yes
1/2/15,Albury,15.5,39.6,0,NA,NA,NE,56,ESE,9,45,1016,NA,25.6,No,No
1/2/15,BadgerysCreek,21.3,30.5,0,NA,NA,E,30,SE,6,76,1018.5,NA,24.5,No,No
1/2/15,Cobar,24,39.7,0,15.8,NA,ENE,61,NNE,22,25,1012.3,1,31,No,No
1/2/15,CoffsHarbour,22.7,29.2,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,27.7,NA,NA
1/2/15,Moree,23.2,25.5,NA,NA,NA,NA,NA,W,17,75,1018.2,8,23.2,NA,NA
1/2/15,Newcastle,22.8,30.5,0,NA,NA,NA,NA,NA,0,83,NA,6,25,No,No
1/2/15,NorahHead,21,24.6,9.6,NA,NA,E,39,SSW,19,92,1017.8,NA,22.3,Yes,No
1/2/15,NorfolkIsland,18.7,24.9,0,5.8,12.1,SE,35,SE,17,72,1019.6,2,22.7,No,Yes
1/2/15,Penrith,22.3,31.8,0,NA,NA,E,26,SSE,6,80,NA,NA,25.1,No,No
1/2/15,Richmond,22.1,31.9,0,NA,NA,S,31,SSE,7,80,1018.3,5,25.2,No,No
1/2/15,Sydney,21.2,28.5,0,9.2,3.6,S,37,S,17,78,1018.8,7,23.2,No,No
1/2/15,SydneyAirport,21.1,27.5,0.2,9.2,3.6,S,50,SSW,13,77,1019.1,7,22.4,No,No
1/2/15,WaggaWagga,21.2,38.9,0,11,13.7,NNE,54,ENE,26,37,1015.7,1,27.4,No,No
1/2/15,Williamtown,22.4,29.3,0,NA,NA,S,35,SSE,19,81,1017.7,8,25.5,No,No
1/2/15,Wollongong,20.6,24.6,0.4,NA,NA,SSW,43,S,20,80,1019.1,8,21.2,No,No
1/2/15,Canberra,11.4,35.2,0,NA,NA,ENE,41,SSW,7,56,1018.6,NA,21.7,No,No
1/2/15,Tuggeranong,12.7,34.1,0,NA,NA,ENE,41,SSE,6,50,1018.2,NA,22.5,No,No
1/2/15,MountGinini,10.1,25.4,0,NA,NA,NNE,33,NNE,9,78,NA,NA,16.7,No,No
1/2/15,Ballarat,11.6,38.2,0,NA,NA,N,59,N,26,29,1014,2,25.1,No,No
1/2/15,Bendigo,16.7,39.8,0,NA,NA,N,43,NE,15,36,1013.9,NA,25.5,No,No
1/2/15,Sale,13.8,30.3,0,NA,NA,E,35,NNW,7,85,1017.5,8,17.8,No,No
1/2/15,MelbourneAirport,13.2,40.5,0,5.2,10.4,N,54,NE,9,57,1014.3,4,22.6,No,No
1/2/15,Melbourne,15.9,39.4,0,5.2,10.4,N,54,NE,9,87,1014.5,NA,20.8,No,No
1/2/15,Mildura,22.6,42.3,0,10.6,13.1,NNE,35,NE,19,14,1011.9,1,30.4,No,No
1/2/15,Nhil,19.4,42,0,NA,NA,NNW,50,NNE,20,25,1011.5,NA,27.5,No,No
1/2/15,Portland,14.4,39.9,0.2,7,12.4,NNW,54,NNE,15,66,1010.3,8,20.6,No,No
1/2/15,Watsonia,13.5,40.6,0,5.2,10.4,N,41,N,2,73,1014.6,4,19.1,No,No
1/2/15,Dartmoor,13.7,42.7,0,7,12.4,N,59,NNE,15,36,1009.8,NA,26.1,No,No
1/2/15,Brisbane,24.8,30.5,0.2,9,10.3,ENE,28,NE,9,68,1018.2,5,28.1,No,Yes
1/2/15,Cairns,25.8,33.7,0.2,7.8,6.5,ENE,39,SSE,15,64,1011.9,5,30.3,No,No
1/2/15,GoldCoast,24.6,30.1,0,NA,NA,E,33,ENE,20,72,1018.5,NA,28,No,No
1/2/15,Townsville,24.6,33,1.4,6.4,7.2,ENE,43,ESE,19,73,1012.5,6,29.2,Yes,Yes
1/2/15,Adelaide,23.2,44.1,0,NA,NA,NW,41,N,17,12,1009.4,NA,34.9,No,No
1/2/15,MountGambier,12.6,42.6,0,7,12.4,NW,61,N,20,21,1009.4,6,29.5,No,No
1/2/15,Nuriootpa,17.5,41.8,0,10.4,13.2,NNW,44,N,19,9,1010.1,3,33.8,No,No
1/2/15,Woomera,23.6,43.3,0,NA,NA,NNE,46,NNE,28,5,1009.3,NA,35.1,No,No
1/2/15,Albany,15,21.2,0,7,2.7,NA,NA,W,6,72,1010.1,8,20,No,No
1/2/15,Witchcliffe,11.6,23.6,0.2,NA,NA,SSW,37,WSW,13,90,1011.6,NA,18.3,No,No
1/2/15,PearceRAAF,10.4,28.3,0,NA,8.1,WSW,44,S,20,66,1010.5,NA,20.2,No,No
1/2/15,PerthAirport,14.6,27.9,0,9,8.1,WSW,44,S,24,62,1011,7,20.1,No,No
1/2/15,Perth,15.5,26.3,0,9,8.1,SSW,41,S,17,64,1010.9,7,20.1,No,No
1/2/15,SalmonGums,14,29.9,0,NA,NA,S,37,SSE,7,51,NA,NA,24.1,No,No
1/2/15,Walpole,12.5,21.1,0,NA,NA,SSW,31,WNW,17,88,1010.3,NA,18.4,No,No
1/2/15,Hobart,12.4,28.8,0,7,11.8,N,50,NNW,20,95,1018.2,1,17.2,No,No
1/2/15,Launceston,9,26.4,0,NA,NA,NNW,48,ESE,4,64,NA,NA,17.3,No,No
1/2/15,AliceSprings,23.8,41.4,0,12.4,12.3,NNW,61,W,9,17,1007.7,1,34.3,No,No
1/2/15,Darwin,23.8,29.5,44.6,3.2,0.1,WNW,48,NNE,15,91,1007.5,8,26.9,Yes,Yes
1/2/15,Katherine,23.9,32.4,4.4,4,NA,NW,35,N,11,85,1008,8,27.3,Yes,Yes
1/2/15,Uluru,21.6,42.4,2.2,NA,NA,N,41,NNW,17,23,1006.6,NA,33.6,Yes,No
1/3/15,Albury,17.1,38.3,0,NA,NA,NNE,48,NE,20,35,1017.9,NA,29.2,No,No
1/3/15,BadgerysCreek,21.3,34.3,0,NA,NA,E,33,N,2,67,1019.9,NA,26.4,No,No
1/3/15,Cobar,21.6,36.9,0,13.6,NA,ENE,39,NNE,19,44,1016,0,26.7,No,No
1/3/15,CoffsHarbour,22.1,28.9,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,25.8,NA,NA
1/3/15,Moree,18.3,32.6,NA,NA,NA,NA,NA,NA,NA,70,1018.9,NA,25.4,NA,NA
1/3/15,Newcastle,21,32.2,0,NA,NA,NA,NA,NA,0,66,NA,0,26.4,No,No
1/3/15,NorahHead,20.8,29.4,0,NA,NA,NE,48,SSE,4,97,1020.2,NA,23.1,No,No
1/3/15,NorfolkIsland,19.5,25.5,5.4,7.6,9.1,ENE,37,E,20,76,1020.2,6,24,Yes,Yes
1/3/15,Penrith,22.2,35.8,0,NA,NA,NE,33,NNW,4,76,NA,NA,26,No,No
1/3/15,Richmond,21.6,33.9,0.2,NA,NA,ESE,41,NE,4,73,1020,6,26,No,No
1/3/15,Sydney,22,28.8,0,4,12,NE,48,E,15,76,1020.2,3,26.3,No,No
1/3/15,SydneyAirport,22.3,31.4,0,4,12,NE,65,E,15,68,1020.1,3,27,No,No
1/3/15,WaggaWagga,19,37.5,0,13.6,13.7,NNE,43,NNE,20,41,1018.2,1,28,No,No
1/3/15,Williamtown,18.1,32.8,0,NA,NA,E,46,E,4,70,1019.9,NA,25.7,No,No
1/3/15,Wollongong,20.5,25.7,0,NA,NA,NE,48,N,20,80,1019.6,NA,24.6,No,No
1/3/15,Canberra,14.3,34.7,0,NA,NA,NW,50,W,6,71,1019.4,NA,23.3,No,No
1/3/15,Tuggeranong,15.3,33.7,0,NA,NA,WNW,37,NW,6,66,1018.9,NA,23.8,No,No
1/3/15,MountGinini,13,24,0.6,NA,NA,NW,39,NW,17,77,NA,NA,16.3,No,No
1/3/15,Ballarat,23.8,37.5,0,NA,NA,NNE,78,NNE,46,35,1012,NA,27.6,No,Yes
1/3/15,Bendigo,23.9,40.3,0,NA,NA,N,65,NE,20,38,1014.4,NA,27.4,No,No
1/3/15,Sale,16.1,38.3,0,NA,NA,NNW,43,NW,6,42,1012.8,2,30.3,No,No
1/3/15,MelbourneAirport,22.6,39.4,0,23.8,8.6,NNE,85,N,54,29,1012.6,6,29.7,No,Yes
1/3/15,Melbourne,20.8,38.4,0,23.8,8.6,NNE,85,N,54,30,1012.1,NA,30.5,No,Yes
1/3/15,Mildura,24.9,43.5,0,14.8,9.7,WSW,56,N,28,34,1010.5,2,32.7,No,Yes
1/3/15,Nhil,25.3,41.6,0,NA,NA,WNW,94,N,30,32,1007.9,NA,32.4,No,No
1/3/15,Portland,14.3,33.4,0,15.4,8.6,WSW,46,WNW,6,37,1008.1,2,27.7,No,No
1/3/15,Watsonia,19.1,39.5,0,23.8,8.6,N,61,NNE,22,31,1012.5,6,31.4,No,Yes
1/3/15,Dartmoor,14.2,37.3,0,15.4,8.6,SSW,41,NA,0,43,1008.2,NA,25.3,No,No
1/3/15,Brisbane,24.6,28.9,1.2,4.2,4.2,E,35,ENE,6,82,1019.4,8,25.6,Yes,Yes
1/3/15,Cairns,25.4,33.6,1,6.2,6.6,SE,37,S,17,70,1011.6,5,29.4,No,Yes
1/3/15,GoldCoast,24,30.1,0,NA,NA,E,35,E,22,73,1019.7,NA,26.7,No,No
1/3/15,Townsville,25,28.1,4.4,7.6,1,SE,37,SE,13,86,1012.6,7,27.3,Yes,Yes
1/3/15,Adelaide,24.4,38.2,0,NA,NA,SW,56,SSW,15,33,1005.8,NA,29.2,No,No
1/3/15,MountGambier,14.7,35.6,0,15.4,8.6,SW,50,SW,6,36,1007.5,2,27.4,No,No
1/3/15,Nuriootpa,16.8,40.7,0,13.8,5.4,NW,57,NNW,20,17,1006.5,3,35.4,No,No
1/3/15,Woomera,27.1,44.7,0,NA,NA,S,76,NNE,41,22,1006.8,NA,35.5,No,No
1/3/15,Albany,15.5,21.5,0,4.6,8.7,NA,NA,S,13,60,1018.5,6,17.6,No,No
1/3/15,Witchcliffe,10.7,23,0,NA,NA,SSE,44,SSE,13,54,1018.4,NA,17.6,No,No
1/3/15,PearceRAAF,13.5,32.5,0,NA,13.2,WSW,41,ESE,22,47,1015.5,NA,22,No,No
1/3/15,PerthAirport,15.7,31,0,8.8,13.2,SW,46,ESE,19,41,1015.9,3,21.5,No,No
1/3/15,Perth,15.8,29.5,0,8.8,13.2,SW,41,SE,11,44,1015.9,3,21.6,No,No
1/3/15,SalmonGums,12.7,27.9,0,NA,NA,SSE,43,S,15,44,NA,NA,20.8,No,No
1/3/15,Walpole,12.8,21.8,0,NA,NA,SSE,35,SSE,13,62,1018.2,NA,17.4,No,No
1/3/15,Hobart,16.9,34.2,0,10.6,10.6,WNW,41,N,9,30,1006.3,7,28.6,No,Yes
1/3/15,Launceston,15.8,31.9,0,NA,NA,N,44,N,4,68,NA,NA,23.1,No,Yes
1/3/15,AliceSprings,26.2,36.4,0,13.4,3.1,NNW,39,NNW,22,32,1009,7,31.5,No,No
1/3/15,Darwin,25.5,29,5.8,1.4,0,WNW,56,N,20,86,1006.9,8,27.9,Yes,Yes
1/3/15,Katherine,24.5,32.5,16,3.6,NA,WNW,44,N,9,89,1007.5,8,26.4,Yes,Yes
1/3/15,Uluru,23.5,39.8,0,NA,NA,SSE,52,NNW,24,23,1008.1,NA,32.9,No,No
1/4/15,Albury,26,33.1,0,NA,NA,NNE,41,ESE,7,46,1013.6,8,27.4,No,No
1/4/15,BadgerysCreek,19.3,34.8,0,NA,NA,SSE,46,NNW,2,73,1015.8,NA,25.3,No,Yes
1/4/15,Cobar,26.3,37.1,0,9.4,NA,SW,56,N,22,41,1013.5,7,30.2,No,No
1/4/15,CoffsHarbour,22.4,28.2,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,25.9,NA,NA
1/4/15,Moree,20.6,32.7,NA,NA,NA,NA,NA,NA,NA,67,1017.7,NA,25.1,NA,Yes
1/4/15,Newcastle,21.2,34,0,NA,NA,NA,NA,NE,9,74,NA,0,25.5,No,No
1/4/15,NorahHead,21.6,28.9,0,NA,NA,NNE,39,NNE,13,83,1016.2,NA,24.1,No,No
1/4/15,NorfolkIsland,20.5,25.3,1.2,5,9.4,E,46,E,24,71,1020.1,7,23,Yes,No
1/4/15,Penrith,20.8,37.3,0,NA,NA,SSW,41,SSE,6,72,NA,NA,26.2,No,Yes
1/4/15,Richmond,20.1,36.5,0,NA,NA,NE,72,ENE,7,71,1015.6,NA,26.1,No,Yes
1/4/15,Sydney,22.4,30.4,0,10.2,8.9,SSW,52,E,11,69,1015.9,1,26.9,No,No
1/4/15,SydneyAirport,22.9,33.8,0,10.2,8.9,SSW,69,WNW,13,63,1015.9,1,27.9,No,No
1/4/15,WaggaWagga,21.7,33.8,0,14,0.3,NE,46,NA,0,43,1013.9,7,28.7,No,No
1/4/15,Williamtown,19.9,34.5,0,22.8,NA,ENE,37,N,9,66,1016.7,0,26.8,No,No
1/4/15,Wollongong,21.5,25.3,0,NA,NA,SSW,63,NE,17,81,1015,NA,23.9,No,Yes
1/4/15,Canberra,16.9,32.5,0,NA,NA,ESE,50,NNW,31,49,1015.7,NA,26.9,No,Yes
1/4/15,Tuggeranong,18.3,32.8,0,NA,NA,NW,50,NNW,13,51,1015.2,NA,26.7,No,Yes
1/4/15,MountGinini,14.1,22.4,0,NA,NA,NW,46,NW,20,94,NA,NA,14.8,No,No
1/4/15,Ballarat,12.6,23.5,12.2,NA,NA,SSE,44,S,30,84,1016.9,8,13.6,Yes,No
1/4/15,Bendigo,19.9,29,0.6,NA,NA,N,46,SSE,26,75,1015,NA,20.5,No,No
1/4/15,Sale,19.1,23.7,0.4,NA,NA,SSW,41,SW,24,75,1016,8,19.7,No,No
1/4/15,MelbourneAirport,15,23.3,3.2,16.8,7.8,N,70,S,20,80,1018,8,15.9,Yes,No
1/4/15,Melbourne,16.4,23.9,5.4,16.8,7.8,N,70,S,20,82,1017.9,NA,16.8,Yes,No
1/4/15,Mildura,20.2,33,4,15.8,8.2,SSE,37,SSE,20,69,1014.6,7,20.8,Yes,No
1/4/15,Nhil,16.2,31.8,0.4,NA,NA,S,46,SSE,31,57,1015.9,NA,18.6,No,No
1/4/15,Portland,14,20,0,7.2,13.6,SE,39,S,17,64,1019,4,15.9,No,No
1/4/15,Watsonia,15.2,25.1,3.4,16.8,7.8,SW,39,SSW,19,99,1018,8,15.7,Yes,No
1/4/15,Dartmoor,12.3,24.3,0.4,7.2,13.6,SE,41,SSE,20,65,1018.5,NA,17,No,No
1/4/15,Brisbane,21.1,30.2,16.8,7.6,12,ENE,26,E,9,59,1018,4,27.6,Yes,No
1/4/15,Cairns,23.3,29.4,89,NA,1.7,S,33,S,17,98,1011.5,8,23.6,Yes,Yes
1/4/15,GoldCoast,22.4,30.1,0.2,NA,NA,E,33,ESE,17,65,1018.4,NA,26.7,No,Yes
1/4/15,Townsville,23.1,31.6,70.4,NA,6.9,ENE,41,ESE,17,78,1011.9,6,28,Yes,No
1/4/15,Adelaide,17.7,30.5,0,NA,NA,S,33,SSE,13,51,1016.4,NA,21.6,No,No
1/4/15,MountGambier,11,24.1,0.4,7.2,13.6,S,50,SSE,31,55,1018.5,2,17.3,No,No
1/4/15,Nuriootpa,15.5,29.1,1,9.6,13.2,SSE,44,SSE,26,61,1015.5,2,18.7,No,No
1/4/15,Woomera,21,37.6,0,NA,NA,S,57,SSE,35,50,1011.6,NA,24.4,No,No
1/4/15,Albany,11.8,23.3,0,7,13.1,NA,NA,SW,7,56,1017.6,0,20.5,No,No
1/4/15,Witchcliffe,9.9,29.8,0,NA,NA,SSE,44,SSE,9,53,1016.2,NA,20.3,No,No
1/4/15,PearceRAAF,13,38.5,0,NA,13.2,SW,39,ENE,17,38,1012.9,NA,26.2,No,No
1/4/15,PerthAirport,15.5,36.8,0,9.4,13.2,S,41,ENE,24,38,1013.3,0,25.3,No,No
1/4/15,Perth,16.2,34.7,0,9.4,13.2,SW,35,E,9,43,1013.2,0,24.9,No,No
1/4/15,SalmonGums,10.3,34.1,0,NA,NA,SE,43,NE,19,48,NA,NA,22.8,No,No
1/4/15,Walpole,10.4,24.4,0,NA,NA,ESE,41,SE,11,53,1016.9,NA,21.5,No,No
1/4/15,Hobart,16,24,8.8,8.6,9.9,NW,44,SSW,15,47,1011.6,4,17.5,Yes,No
1/4/15,Launceston,17.9,28.3,5,NA,NA,NNE,39,WNW,7,61,NA,NA,19.7,Yes,No
1/4/15,AliceSprings,24.8,29,0.2,9.4,0,NNW,31,NNE,9,69,1009.4,8,26.1,No,No
1/4/15,Darwin,24.1,29.7,30.6,3.6,0,N,39,SSW,9,93,1006,8,26.2,Yes,No
1/4/15,Katherine,24.4,31.4,19.8,5.4,NA,NNW,54,NNW,11,84,1006.1,8,26.9,Yes,No
1/4/15,Uluru,27.3,36.1,0,NA,NA,E,41,SE,24,26,1008.4,NA,30.9,No,No
1/5/15,Albury,19,35.2,0,NA,NA,E,33,SSE,7,60,1017.4,8,25.6,No,No
1/5/15,BadgerysCreek,19.8,27.2,14.2,NA,NA,E,24,WSW,7,85,1019.5,NA,20.5,Yes,No
1/5/15,Cobar,20.9,28.1,1,11.8,NA,ESE,39,ENE,22,76,1014.2,7,22.5,No,No
1/5/15,CoffsHarbour,18.9,26.7,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,24.3,NA,NA
1/5/15,Moree,22.1,29.4,44.6,43.6,0.8,E,43,NNE,20,67,1015.9,8,24,Yes,No
1/5/15,Newcastle,21.5,26.8,0,NA,NA,NA,NA,SE,4,87,NA,8,22.9,No,No
1/5/15,NorahHead,21.4,25.4,0,NA,NA,S,39,SSW,20,88,1018.9,NA,22,No,Yes
1/5/15,NorfolkIsland,20.3,25.8,0.4,7,11.9,NA,NA,E,28,67,1018.1,3,23.6,No,Yes
1/5/15,Penrith,20.4,27.5,7.2,NA,NA,NE,24,WSW,6,84,NA,NA,21.2,Yes,No
1/5/15,Richmond,20.2,27.5,4.2,NA,NA,NE,28,WSW,11,84,1019.5,8,21.3,Yes,No
1/5/15,Sydney,20.5,26.3,0.2,10,3.4,S,35,SSW,9,82,1019.4,7,21.8,No,No
1/5/15,SydneyAirport,20.6,25.8,0,10,3.4,S,41,SSW,20,81,1019.4,7,21.5,No,No
1/5/15,WaggaWagga,20.5,34.9,0,7.6,9.8,ESE,57,ENE,22,53,1016.7,2,25.7,No,No
1/5/15,Williamtown,19.9,27,0,7.8,4.7,SSE,39,SE,17,78,1018.8,7,23.9,No,No
1/5/15,Wollongong,19.5,23.1,9.8,NA,NA,S,44,SSW,9,82,1019.6,8,20.3,Yes,No
1/5/15,Canberra,13.5,29.6,5,NA,NA,WSW,56,SW,7,68,1018.6,8,21.1,Yes,Yes
1/5/15,Tuggeranong,15.4,28.9,26.2,NA,NA,ESE,41,ENE,2,66,1018.1,NA,20.4,Yes,Yes
1/5/15,MountGinini,10.7,20.7,0,NA,NA,NNE,30,N,11,80,NA,NA,15.6,No,Yes
1/5/15,Ballarat,9.9,26.6,0,NA,NA,SE,50,SE,28,70,1018.7,NA,15.3,No,No
1/5/15,Bendigo,13.2,33.6,0.2,NA,NA,SE,46,SE,11,51,1017.8,NA,19.7,No,No
1/5/15,Sale,15.5,24.6,0.2,NA,NA,SSE,33,SSE,6,72,1020.3,7,19,No,No
1/5/15,MelbourneAirport,11.3,24.6,0,6.4,10.3,SSE,35,SSE,15,68,1020.5,7,16.5,No,No
1/5/15,Melbourne,15.6,23.9,0.2,6.4,10.3,SSE,35,SSE,15,58,1020.3,7,18.4,No,No
1/5/15,Mildura,20.8,38.2,0,8.4,10.7,SE,35,E,19,49,1015.3,2,24.7,No,No
1/5/15,Nhil,11.9,35.3,0,NA,NA,SSE,43,SE,19,34,1017.6,NA,21.5,No,No
1/5/15,Portland,10.6,20.4,0,7.6,13.6,ESE,39,SE,26,70,1021.6,8,15.6,No,No
1/5/15,Watsonia,13.1,25.7,0.2,6.4,10.3,WSW,37,S,7,67,1020.4,7,17.4,No,No
1/5/15,Dartmoor,10,27.1,0,7.6,13.6,ESE,43,SE,24,78,1020.7,NA,16.5,No,No
1/5/15,Brisbane,21.8,28.1,0,8.8,3.8,ESE,20,ESE,6,69,1015.9,7,26.8,No,Yes
1/5/15,Cairns,23.6,31.4,17.4,NA,6.4,SE,39,SSE,19,74,1009.3,5,28.8,Yes,Yes
1/5/15,GoldCoast,21.6,28,7.2,NA,NA,ESE,48,SE,20,86,1016.5,NA,23.2,Yes,Yes
1/5/15,Townsville,24.6,31.6,0.2,6,3,NE,39,ESE,22,69,1010.2,7,28.7,No,No
1/5/15,Adelaide,18.2,34.9,0,43.4,NA,ESE,50,NA,0,45,1016.7,NA,24.1,No,No
1/5/15,MountGambier,8.6,27.4,0,7.6,13.6,SSE,52,SSE,31,63,1020.9,6,17.2,No,No
1/5/15,Nuriootpa,16.2,33.5,0,9.8,12.9,SE,46,ESE,13,35,1016.1,2,23,No,No
1/5/15,Woomera,21.5,38.3,0,68.8,NA,SE,44,ESE,15,46,1013.9,0,25.8,No,No
1/5/15,Albany,17.4,24.9,0,7.8,12.7,NA,NA,E,30,78,1014.4,1,21.9,No,No
1/5/15,Witchcliffe,15.6,31.7,0,NA,NA,SSE,33,ESE,17,52,1011.5,NA,24,No,No
1/5/15,PearceRAAF,23,45.4,0,NA,11.3,ENE,56,ENE,31,29,1008,NA,33.2,No,No
1/5/15,PerthAirport,21.5,44.2,0,10.6,11.3,E,57,ENE,26,24,1008.6,0,34.3,No,No
1/5/15,Perth,23.2,44.4,0,10.6,11.3,NE,37,NE,17,30,1008.5,0,33.9,No,No
1/5/15,SalmonGums,14.9,37.2,0,NA,NA,E,37,NE,15,38,NA,NA,26.1,No,No
1/5/15,Walpole,13.3,29.5,0,NA,NA,SSE,31,E,13,58,1013.4,NA,24.4,No,No
1/5/15,Hobart,13.7,20.6,0,7,8,SE,41,NNW,15,72,1021.3,8,15.2,No,No
1/5/15,Launceston,15.8,22.3,0,NA,NA,NW,31,NNW,11,66,NA,NA,18.8,No,No
1/5/15,AliceSprings,22.7,27.1,0.6,3.2,0,ENE,44,E,24,73,1008.1,7,25.6,No,No
